2018-08-08 01:00:52,::1,ANON,START,practice
2018-08-08 01:05:27,::1,ANON,START,practice
2018-08-08 01:10:43,::1,ANON,START,practice
2018-08-08 01:10:52,::1,ANON,END,practice
2018-08-08 01:12:50,::1,ark,START,test
2018-08-08 01:13:03,::1,ark,END,test
2018-08-08 01:13:28,::1,ar,START,test
2018-08-08 01:13:33,::1,ar,END,test
2018-08-08 01:14:59,::1,assd,START,test
2018-08-08 01:18:26,::1,ANON,START,practice
2018-08-08 01:18:29,::1,ANON,END,practice
2018-08-08 01:19:54,::1,asdasd,START,test
2018-08-08 01:20:51,::1,asdasd,END,test
2018-08-08 01:21:50,::1,sasddasd,START,test
2018-08-08 01:22:51,::1,sasddasd,END,test
2018-08-11 00:54:27,::1,ANON,START,practice
2018-08-11 01:00:37,::1,ANON,START,practice
2018-08-11 01:02:19,::1,ANON,START,practice
2018-08-11 01:04:22,::1,ANON,START,practice
2018-08-11 01:06:57,::1,ANON,START,practice
2018-08-11 01:08:03,::1,ANON,START,practice
2018-08-11 01:08:16,::1,ANON,START,practice
2018-08-11 01:18:19,::1,ANON,START,practice
2018-08-11 01:27:17,::1,ANON,START,practice
2018-08-11 02:45:28,::1,ANON,START,practice
2018-09-19 00:46:12,::1,ANON,START,practice
2018-09-19 03:25:03,::1,ANON,START,practice
2018-09-19 23:33:43,70.67.237.43,ANON,START,practice
